id_hecho,fecha,rol,vehiculo_victima,sexo,edad,fecha_fallecimiento,cantidad_victimas,hora,lugar,tipo_de_calle,comuna,longitud,latitud,vehiculo_acusado
2021-0021,2021-02-26,CONDUCTOR,MOTO,MASCULINO,39.0,2021-03-04,1,5,"YRIGOYEN, HIPOLITO Y  24 DE NOVIEMBRE",CALLE,3.0,-58.41168345,-34.61185625,OBJETO FIJO
2021-0022,2021-02-28,PASAJERO_ACOMPAÑANTE,PASAJEROS,MASCULINO,68.0,2021-03-06,1,12,DEL LIBERTADOR AV. Y ROOSEVELT FRANKLIN D.,AVENIDA,13.0,-58.45157681,-34.55217303,SD
2021-0023,2021-03-01,CONDUCTOR,MOTO,MASCULINO,24.0,2021-03-01,1,9,"AU BUENOS AIRES LA PLATA  KM 4,5",AUTOPISTA,4.0,.,.,CARGAS
2021-0024,2021-03-03,CICLISTA,BICICLETA,MASCULINO,5.0,2021-03-03,1,16,"PERON, EVA AV. y PIEDRA BUENA AV",AVENIDA,9.0,-58.49573651,-34.67006054,CARGAS
2021-0025,2021-03-11,CONDUCTOR,MOTO,MASCULINO,37.0,2021-03-11,1,3,"PAZ, GRAL. AV. y DELLEPIANE, LUIS, TTE. GRAL",GRAL PAZ,8.0,-58.48695354,-34.68795245,OTRO
2021-0026,2021-03-15,CONDUCTOR,MOTO,MASCULINO,36.0,2021-03-15,1,2,"AU FRONDIZI ALTURA QUINQUELA MARTIN, BENITO",AUTOPISTA,4.0,-58.37562539,-34.64449357,OBJETO FIJO
2021-0027,2021-03-16,CONDUCTOR,MOTO,FEMENINO,19.0,2021-03-16,1,15,"PAZ, GRAL. AV. y DONADO",GRAL PAZ,12.0,-58.49491054,-34.54795581,CARGAS
2021-0028,2021-03-29,PEATON,PEATON,MASCULINO,,2021-03-29,1,17,"COREA AV. y TORRES Y TENORIO, PRES",AVENIDA,7.0,-58.44147621,-34.64357704,PASAJEROS
2021-0029,2021-03-31,CONDUCTOR,AUTO,MASCULINO,26.0,2021-04-02,1,18,"FALCON, RAMON L., CNEL. Y SAN PEDRITO AV.",AVENIDA,7.0,-58.46899119,-34.63215432,AUTO
2021-0030,2021-04-03,PEATON,PEATON,MASCULINO,36.0,2021-04-07,1,18,FINOCHIETTO ENRIQUE DR. 1623,CALLE,4.0,-58.38685612,-34.63455776,PASAJEROS
2021-0031,2021-04-07,PEATON,PEATON,FEMENINO,68.0,2021-04-11,1,10,9 DE JULIO AV. E INDEPENDENCIA AV.,AVENIDA,1.0,-58.38113667,-34.61765323,CARGAS
2021-0032,2021-04-10,PEATON,PEATON,MASCULINO,60.0,2021-04-29,1,19,"AU CANTILO Y GUIRALDES, INT.",AUTOPISTA,13.0,-58.44112678,-34.54538956,MOTO
2021-0033,2021-04-14,CONDUCTOR,AUTO,MASCULINO,33.0,2021-04-14,1,17,AU 25 DE MAYO ALTURA BAJADA BOEDO AV.,AUTOPISTA,5.0,-58.41595919,-34.62743346,OBJETO FIJO
2021-0034,2021-04-19,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,26.0,2021-04-19,1,14,"ALCORTA, AMANCIO AV. y ZAVALETA",AVENIDA,4.0,-58.40184094,-34.64546845,CARGAS
2021-0035,2021-05-03,CONDUCTOR,MOTO,MASCULINO,24.0,2021-05-03,1,9,"JANER, ANA MARIA Y LAFUENTE AV.",AVENIDA,8.0,-58.44642231,-34.65679806,CARGAS
2021-0036,2021-05-09,CONDUCTOR,MOTO,MASCULINO,36.0,2021-05-09,1,6,"PAZ, GRAL. AV. Y MOSCONI GENERAL AV.",GRAL PAZ,11.0,-58.52340614,-34.59798754,OBJETO FIJO
2021-0037,2021-05-11,PEATON,PEATON,FEMENINO,58.0,2021-05-11,1,7,"MONROE Y BALBIN, RICARDO, DR. AV.",AVENIDA,13.0,-58.46649069,-34.56219075,PASAJEROS
